epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,92.325,0.97073,0.68952,1,0.7012,0.000470858,0.000470858,0.000470858
2,162.995,0.78888,0.64919,1,0.71877,0.000915934,0.000915934,0.000915934
3,234.634,0.798,0.66129,1,0.71777,0.00132957,0.00132957,0.00132957
4,305.739,0.71857,0.71371,1,0.72645,0.00128753,0.00128753,0.00128753
5,375.831,0.66935,0.64113,1,0.76887,0.00124037,0.00124037,0.00124037
6,445.928,0.63774,0.68145,1,0.7598,0.00119322,0.00119322,0.00119322
7,515.961,0.60596,0.66129,1,0.81266,0.00114606,0.00114606,0.00114606
8,590.542,0.56235,0.66532,1,0.73725,0.0010989,0.0010989,0.0010989
9,696.209,0.54916,0.60887,1,0.93475,0.00105174,0.00105174,0.00105174
10,800.885,0.47448,0.70565,1,0.81416,0.00100459,0.00100459,0.00100459
11,897.384,0.44696,0.63306,1,0.84852,0.00095743,0.00095743,0.00095743
12,975.62,0.40312,0.6371,1,0.88584,0.000910273,0.000910273,0.000910273
13,1061.41,0.3788,0.66532,1,0.87034,0.000863116,0.000863116,0.000863116
14,1146.13,0.35025,0.62903,1,0.95557,0.000815959,0.000815959,0.000815959
15,1232.98,0.34561,0.64516,1,0.99259,0.000768802,0.000768802,0.000768802
16,1325.26,0.33487,0.69355,1,0.86957,0.000721645,0.000721645,0.000721645
17,1425.62,0.31389,0.68145,1,0.86385,0.000674488,0.000674488,0.000674488
18,1524.68,0.28272,0.67742,1,0.93922,0.000627331,0.000627331,0.000627331
19,1613.56,0.25191,0.70968,1,0.9036,0.000580174,0.000580174,0.000580174
20,1699.38,0.26664,0.64919,1,1.13944,0.000533017,0.000533017,0.000533017
21,1787.28,0.25308,0.70565,1,0.92016,0.00048586,0.00048586,0.00048586
22,1894.32,0.20918,0.68952,1,0.98826,0.000438703,0.000438703,0.000438703
23,2002.6,0.21378,0.64919,1,1.05552,0.000391546,0.000391546,0.000391546
24,2116.76,0.19801,0.66935,1,1.04948,0.000344389,0.000344389,0.000344389
25,2231.69,0.17782,0.69758,1,1.00233,0.000297232,0.000297232,0.000297232
26,2346.87,0.18455,0.67742,1,1.0517,0.000250075,0.000250075,0.000250075
27,2447.14,0.15948,0.68145,1,1.05458,0.000202918,0.000202918,0.000202918
28,2547.7,0.16811,0.68145,1,1.0707,0.000155761,0.000155761,0.000155761
29,2629.19,0.1819,0.70968,1,1.0176,0.000108604,0.000108604,0.000108604
30,2703.67,0.16795,0.69758,1,1.02342,6.1447e-05,6.1447e-05,6.1447e-05
