epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.6884,0.97073,0.68952,1,0.7012,0.000470858,0.000470858,0.000470858
2,136.998,0.78716,0.64919,1,0.7127,0.000884677,0.000884677,0.000884677
3,207.421,0.79225,0.67742,1,0.68734,0.00123562,0.00123562,0.00123562
4,281.157,0.70739,0.71371,1,0.71623,0.00114606,0.00114606,0.00114606
5,351.273,0.64921,0.625,1,0.77079,0.00105174,0.00105174,0.00105174
6,445.99,0.59474,0.70565,1,0.75464,0.00095743,0.00095743,0.00095743
7,555.233,0.56531,0.625,1,0.79251,0.000863116,0.000863116,0.000863116
8,642.586,0.492,0.68548,1,0.80487,0.000768802,0.000768802,0.000768802
9,720.599,0.44866,0.625,1,0.80684,0.000674488,0.000674488,0.000674488
10,793.606,0.43517,0.70565,1,0.80311,0.000580174,0.000580174,0.000580174
11,871.839,0.39955,0.66532,1,0.77791,0.00048586,0.00048586,0.00048586
12,944.081,0.34934,0.67742,1,0.77009,0.000391546,0.000391546,0.000391546
13,1020.27,0.33989,0.70968,1,0.77523,0.000297232,0.000297232,0.000297232
14,1106.93,0.31504,0.68952,1,0.7534,0.000202918,0.000202918,0.000202918
15,1207.69,0.29616,0.67742,1,0.77048,0.000108604,0.000108604,0.000108604
